"district","typ","hasc","nutscode","population","area","rb","capital"
"Unterallgäu","l","DE.BY.UT","DE27C","135,161","1,23","SC","Mindelheim"
"Vechta","l","DE.NI.VC","DE94F","132,294",813,"WE","Vechta"
"Verden","l","DE.NI.VR","DE93B","132,3",788,"LU","Verden (Aller)"
"Viersen","d","DE.NW.VE","DEA1E","296,176",563,"DU","Viersen"
"Vogelsbergkreis","l","DE.HE.VG","DE725","108,51","1,459","GI","Lauterbach (Hessen)"
"Vogtlandkreis","l","DE.SN.VG","DED44","240,052","1,31","CH","Plauen"
"Vorpommern-Greifswald","l","DE.MV.VG","DE80","241,54","3,927","MV","Greifswald"
"Vorpommern-Rügen","l","DE.MV.VR","DE80","225,513","3,188","MV","Stralsund"
"Vulkaneifel","l","DE.RP.VL","DEB24","61,947",911,"TR","Daun"
"Waldeck-Frankenberg","l","DE.HE.WF","DE736","158,99","1,849","KS","Korbach"
"Waldshut","l","DE.BW.WL","DE13A","163,136","1,131","FR","Waldshut-Tiengen"
"Warendorf","d","DE.NW.WR","DEA38","273,477","1,317","MU","Warendorf"
"Wartburgkreis","l","DE.TH.WR","DEG0P","128,719","1,305","TH","Bad Salzungen"
"Weiden in der Oberpfalz","s","DE.BY.WO","DE233","41,746",71,"OP","Weiden in der Oberpfalz"
"Weilheim-Schongau","l","DE.BY.WS","DE21N","128,762",966,"OB","Weilheim in Oberbayern"
"Weimar","s","DE.TH.WI","DEG05","62,764",84,"TH","Weimar"
"Weimarer Land","l","DE.TH.WL","DEG0G","82,643",803,"TH","Apolda"
"Weißenburg-Gunzenhausen","l","DE.BY.WG","DE25C","92,369",971,"MF","Weißenburg i.Bay."
"Werra-Meißner-Kreis","l","DE.HE.WM","DE737","102,124","1,025","KS","Eschwege"
"Wesel","d","DE.NW.WS","DEA1F","460,42","1,043","DU","Wesel"
"Wesermarsch","l","DE.NI.WS","DE94G","90,035",822,"WE","Brake (Unterweser)"
"Westerwaldkreis","l","DE.RP.WS","DEB1B","200,059",989,"KB","Montabaur"
"Wetteraukreis","l","DE.HE.WT","DE71E","292,573","1,101","DA","Friedberg (Hessen)"
"Wiesbaden","s","DE.HE.WE","DE714","269,121",204,"DA","Wiesbaden"
"Wilhelmshaven","s","DE.NI.WH","DE945","77,451",107,"WE","Wilhelmshaven"
"Wittenberg","l","DE.ST.WT","DEE0E","132,994","1,93","DS","Lutherstadt Wittenberg"
"Wittmund","l","DE.NI.WT","DE94H","56,839",657,"WE","Wittmund"
